i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
97,genetic,None,"315,603,27,233,545,162,96,653,24,178,132,366,121,18,78,404,720,41,1168,262,644,141,154,383,179,277,101,547,285,157,316,1246,476,391,731,802,289,321,932,639,255,475,218,113,54,857,823,202,246,512","535,603,27,233,545,162,96,653,24,178,132,366,121,18,78,404,720,41,1168,262,644,141,154,383,179,277,101,547,285,157,316,1246,476,391,731,802,289,321,932,639,255,475,218,113,54,857,823,202,246,512",None,1,None,None,184.988,None,None,None,None,720,404,None,0,None,"720,61,281,960,1003","404,720,243,13,96",None,0.107,None,"720,61,281,960,1003,116,262,185,653,512","404,720,243,13,96,61,262,78,270,512",None,0.222,None,"720,61,281,960,1003,116,262,185,653,512,99,326,49,492,96,358,340,555,270,131","404,720,243,13,96,61,262,78,270,512,1003,531,185,306,361,210,104,433,358,365",None,0.172,None,"(None, 10, 0)",None,None,"315,603,27,233,545,162,96,653,24,178,132,366,121,18,78,404,720,41,1168,262,644,141,154,383,179,277,101,547,285,157,316,1246,476,391,731,802,289,321,932,639,255,475,218,113,54,857,823,202,246,512","315,603,27,233,545,162,96,653,24,178,132,366,121,18,78,404,720,41,1168,262,644,141,154,383,179,277,101,547,285,157,316,1246,476,391,731,802,289,321,932,639,255,475,218,113,54,857,823,202,246,3","sync_315,sync_603,sync_27,sync_233,sync_545,sync_162,sync_96,sync_653,sync_24,sync_178,sync_132,sync_366,sync_121,sync_18,sync_78,sync_404,sync_720,sync_41,sync_1168,sync_262,sync_644,sync_141,sync_154,sync_383,sync_179,sync_277,sync_101,sync_547,sync_285,sync_157,sync_316,sync_1246,sync_476,sync_391,sync_731,sync_802,sync_289,sync_321,sync_932,sync_639,sync_255,sync_475,sync_218,sync_113,sync_54,sync_857,sync_823,sync_202,sync_246,add_3,del_512",1,None,None,None,118.918,None,54,404,None,0,"54,588,500,316,736","404,720,243,13,96",None,0.0,"54,588,500,316,736,835,103,391,297,202","404,720,243,13,96,61,262,78,270,512",None,0.0,"54,588,500,316,736,835,103,391,297,202,572,355,162,231,574,192,204,1017,472,432","404,720,243,13,96,61,262,78,270,512,1003,531,185,306,361,210,104,433,358,365",None,0.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
98,genetic,None,"115,311,1270,798,533,148,389,324,137,375,308,384,1019,477,457,15,163,141,1055,316,518,489,532,560,1113,459,1261,1241,905,1010,775,647,9,1229,1620,718,646,418,630,56,1223,194,1392,1350,1022,699,329,369,774,1111","115,311,1270,798,533,148,389,324,137,375,308,384,1019,477,457,15,163,141,1055,316,518,489,532,560,1113,459,1261,1241,905,1010,775,647,9,1229,1620,718,646,418,630,56,1223,894,1392,1350,1022,699,329,369,774,1111",None,1,None,None,190.645,None,None,None,None,329,1486,None,0,None,"329,1486,426,163,1113","1486,329,163,426,1020",None,0.434,None,"329,1486,426,163,1113,193,699,311,1020,1082","1486,329,163,426,1020,1113,1093,164,311,699",None,0.387,None,"329,1486,426,163,1113,193,699,311,1020,1082,164,1093,806,469,66,81,418,657,634,436","1486,329,163,426,1020,1113,1093,164,311,699,193,634,1082,858,81,657,1186,436,66,896",None,0.337,None,"(None, 10, 0)",None,None,"115,311,1270,798,533,148,389,324,137,375,308,384,1019,477,457,15,163,141,1055,316,518,489,532,560,1113,459,1261,1241,905,1010,775,647,9,1229,1620,718,646,418,630,56,1223,194,1392,1350,1022,699,329,369,774,1111","115,311,1270,798,533,148,389,324,137,375,308,384,1019,477,457,15,163,141,1055,316,518,489,532,560,1113,459,1261,1241,905,1010,775,647,9,1229,1620,718,646,418,630,56,1223,194,1392,1350,1022,699,329,369,774,1111","sync_115,sync_311,sync_1270,sync_798,sync_533,sync_148,sync_389,sync_324,sync_137,sync_375,sync_308,sync_384,sync_1019,sync_477,sync_457,sync_15,sync_163,sync_141,sync_1055,sync_316,sync_518,sync_489,sync_532,sync_560,sync_1113,sync_459,sync_1261,sync_1241,sync_905,sync_1010,sync_775,sync_647,sync_9,sync_1229,sync_1620,sync_718,sync_646,sync_418,sync_630,sync_56,sync_1223,sync_194,sync_1392,sync_1350,sync_1022,sync_699,sync_329,sync_369,sync_774,sync_1111",0,None,None,None,47.962,None,1486,1486,None,1,"1486,329,163,426,1020","1486,329,163,426,1020",None,1.0,"1486,329,163,426,1020,1113,1093,164,311,699","1486,329,163,426,1020,1113,1093,164,311,699",None,1.0,"1486,329,163,426,1020,1113,1093,164,311,699,193,634,1082,858,81,657,1186,436,66,896","1486,329,163,426,1020,1113,1093,164,311,699,193,634,1082,858,81,657,1186,436,66,896",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
99,genetic,None,"80,359,123,163,273,636,514,148,436,364,699,759,206,633,376,297,902,1266,544,656,451,220,821,875,979,739,927,15,686,459,832,28,710,438,413,842,147,1045,774,758,1114,101,299,446,573,777,508,524,537,769","80,359,123,163,273,636,514,148,436,364,699,759,206,633,376,297,902,1266,544,656,451,220,821,875,979,739,927,15,686,459,832,28,710,438,413,842,147,1045,774,758,1114,101,299,446,573,777,508,524,347,769",None,1,None,None,191.716,None,None,None,None,1137,416,None,0,None,"1137,416,777,524,841","416,382,777,972,1137",None,0.365,None,"1137,416,777,524,841,775,41,705,382,1440","416,382,777,972,1137,508,657,524,775,306",None,0.285,None,"1137,416,777,524,841,775,41,705,382,1440,720,972,657,821,847,1241,707,444,891,595","416,382,777,972,1137,508,657,524,775,306,705,720,417,511,1014,333,707,629,1198,999",None,0.261,None,"(None, 10, 0)",None,None,"80,359,123,163,273,636,514,148,436,364,699,759,206,633,376,297,902,1266,544,656,451,220,821,875,979,739,927,15,686,459,832,28,710,438,413,842,147,1045,774,758,1114,101,299,446,573,777,508,524,537,769","80,359,123,163,273,636,514,148,436,364,699,759,206,633,376,297,902,1266,544,656,451,220,821,875,979,739,927,15,686,459,832,28,710,438,413,842,147,1045,774,758,1114,101,299,446,573,777,508,524,537,3","sync_80,sync_359,sync_123,sync_163,sync_273,sync_636,sync_514,sync_148,sync_436,sync_364,sync_699,sync_759,sync_206,sync_633,sync_376,sync_297,sync_902,sync_1266,sync_544,sync_656,sync_451,sync_220,sync_821,sync_875,sync_979,sync_739,sync_927,sync_15,sync_686,sync_459,sync_832,sync_28,sync_710,sync_438,sync_413,sync_842,sync_147,sync_1045,sync_774,sync_758,sync_1114,sync_101,sync_299,sync_446,sync_573,sync_777,sync_508,sync_524,sync_537,add_3,del_769",1,None,None,None,135.777,None,468,416,None,0,"468,508,524,657,416","416,382,777,972,1137",None,0.068,"468,508,524,657,416,838,675,758,166,632","416,382,777,972,1137,508,657,524,775,306",None,0.09,"468,508,524,657,416,838,675,758,166,632,556,718,800,707,972,1012,920,435,1110,1129","416,382,777,972,1137,508,657,524,775,306,705,720,417,511,1014,333,707,629,1198,999",None,0.071,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
100,genetic,None,"476,461,85,34,1163,104,219,63,386,71,1055,143,319,203,574,195,422,544,293,634,878,946,529,77,528,412,1557,784,527,743,552,364,198,712,345,664,1228,255,483,932,734,463,922,218,358,29,32,339,548,758","476,461,85,34,1163,104,219,63,386,71,1055,143,319,203,574,195,422,544,293,634,878,946,529,77,528,412,1557,784,527,743,552,364,198,712,345,664,1258,255,483,932,734,463,922,218,358,29,32,339,548,758",None,1,None,None,187.825,None,None,None,None,1040,248,None,0,None,"1040,833,624,248,1069","248,1040,624,1069,368",None,0.434,None,"1040,833,624,248,1069,1263,1055,543,706,722","248,1040,624,1069,368,706,1055,227,946,94",None,0.375,None,"1040,833,624,248,1069,1263,1055,543,706,722,243,25,201,946,368,1049,277,229,298,753","248,1040,624,1069,368,706,1055,227,946,94,1241,167,1269,722,833,292,229,277,23,840",None,0.298,None,"(None, 10, 0)",None,None,"476,461,85,34,1163,104,219,63,386,71,1055,143,319,203,574,195,422,544,293,634,878,946,529,77,528,412,1557,784,527,743,552,364,198,712,345,664,1228,255,483,932,734,463,922,218,358,29,32,339,548,758","476,461,85,34,1163,104,219,63,386,71,1055,143,319,203,574,195,422,544,293,634,878,946,529,77,528,412,1557,784,527,743,552,364,198,712,345,664,1228,255,483,932,734,463,922,218,358,29,32,339,548,1","sync_476,sync_461,sync_85,sync_34,sync_1163,sync_104,sync_219,sync_63,sync_386,sync_71,sync_1055,sync_143,sync_319,sync_203,sync_574,sync_195,sync_422,sync_544,sync_293,sync_634,sync_878,sync_946,sync_529,sync_77,sync_528,sync_412,sync_1557,sync_784,sync_527,sync_743,sync_552,sync_364,sync_198,sync_712,sync_345,sync_664,sync_1228,sync_255,sync_483,sync_932,sync_734,sync_463,sync_922,sync_218,sync_358,sync_29,sync_32,sync_339,sync_548,add_1,del_758",1,None,None,None,103.873,None,798,248,None,0,"798,471,248,308,12","248,1040,624,1069,368",None,0.113,"798,471,248,308,12,218,180,322,115,348","248,1040,624,1069,368,706,1055,227,946,94",None,0.073,"798,471,248,308,12,218,180,322,115,348,101,83,217,290,720,202,167,103,495,284","248,1040,624,1069,368,706,1055,227,946,94,1241,167,1269,722,833,292,229,277,23,840",None,0.054,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
101,genetic,None,"252,61,96,1024,176,52,118,377,117,69,53,84,260,503,696,158,653,50,290,281,1070,405,1230,269","252,61,96,1024,176,52,118,377,117,69,53,84,260,503,696,158,653,50,290,521,1070,405,1230,269",None,1,None,None,161.586,None,None,None,None,1513,653,None,0,None,"1513,653,358,281,787","653,281,361,44,1003",None,0.241,None,"1513,653,358,281,787,53,44,503,513,25","653,281,361,44,1003,951,96,340,290,118",None,0.18,None,"1513,653,358,281,787,53,44,503,513,25,240,190,134,118,90,951,154,176,290,361","653,281,361,44,1003,951,96,340,290,118,158,405,105,252,86,961,176,270,929,41",None,0.154,None,"(None, 10, 0)",None,None,"252,61,96,1024,176,52,118,377,117,69,53,84,260,503,696,158,653,50,290,281,1070,405,1230,269","252,61,96,1024,176,52,118,377,117,69,53,84,260,503,696,158,653,50,290,281,1070,405,1230,269,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_252,sync_61,sync_96,sync_1024,sync_176,sync_52,sync_118,sync_377,sync_117,sync_69,sync_53,sync_84,sync_260,sync_503,sync_696,sync_158,sync_653,sync_50,sync_290,sync_281,sync_1070,sync_405,sync_1230,sync_269",0,None,None,None,75.305,None,653,653,None,1,"653,281,361,44,1003","653,281,361,44,1003",None,1.0,"653,281,361,44,1003,951,96,340,290,118","653,281,361,44,1003,951,96,340,290,118",None,1.0,"653,281,361,44,1003,951,96,340,290,118,158,405,105,252,86,961,176,270,929,41","653,281,361,44,1003,951,96,340,290,118,158,405,105,252,86,961,176,270,929,41",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
102,genetic,None,"317,71,1277,202,477,878,286,152,527,206,77,258,364,1172,1055,710,62,359,253,1185,1202,957,682,671,843,643,131,326,149,752,1017,10,237,67,412,34,181,817,178,1162,74,393,12,40,398,666,720,405,555,1399","317,71,1277,202,477,878,286,152,527,206,77,258,364,1172,1055,710,62,359,253,1185,1228,957,682,671,843,643,131,326,149,752,1017,10,237,67,412,34,181,817,178,1162,74,393,12,40,398,666,720,405,555,1399",None,1,None,None,185.689,None,None,None,None,595,347,None,0,None,"595,347,790,610,105","347,595,790,882,1262",None,0.446,None,"595,347,790,610,105,882,270,256,398,492","347,595,790,882,1262,610,105,601,398,270",None,0.454,None,"595,347,790,610,105,882,270,256,398,492,1262,99,1055,601,116,720,405,555,154,178","347,595,790,882,1262,610,105,601,398,270,492,116,99,1055,256,154,555,178,405,44",None,0.426,None,"(None, 10, 0)",None,None,"317,71,1277,202,477,878,286,152,527,206,77,258,364,1172,1055,710,62,359,253,1185,1202,957,682,671,843,643,131,326,149,752,1017,10,237,67,412,34,181,817,178,1162,74,393,12,40,398,666,720,405,555,1399","317,71,1277,202,477,878,286,152,527,206,77,258,364,1172,1055,710,62,359,253,1185,1202,957,682,671,843,643,131,326,149,752,1017,10,237,67,412,34,181,817,178,1162,74,393,12,40,398,666,720,405,555,1527","sync_317,sync_71,sync_1277,sync_202,sync_477,sync_878,sync_286,sync_152,sync_527,sync_206,sync_77,sync_258,sync_364,sync_1172,sync_1055,sync_710,sync_62,sync_359,sync_253,sync_1185,sync_1202,sync_957,sync_682,sync_671,sync_843,sync_643,sync_131,sync_326,sync_149,sync_752,sync_1017,sync_10,sync_237,sync_67,sync_412,sync_34,sync_181,sync_817,sync_178,sync_1162,sync_74,sync_393,sync_12,sync_40,sync_398,sync_666,sync_720,sync_405,sync_555,add_1527,del_1399",1,None,None,None,89.856,None,897,347,None,0,"897,31,254,312,480","347,595,790,882,1262",None,0.0,"897,31,254,312,480,986,11,1099,257,272","347,595,790,882,1262,610,105,601,398,270",None,0.0,"897,31,254,312,480,986,11,1099,257,272,790,105,74,432,882,358,1216,751,326,83","347,595,790,882,1262,610,105,601,398,270,492,116,99,1055,256,154,555,178,405,44",None,0.021,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
103,genetic,None,"1003,188,485,794,628,260,13,190,53,1430,25,447,428,90,1094,862,601,182,210,243,503,531,12,69,141,121,410,349,453,365,104,78,645,159,26,174,196,664,726,1482,45,1077,1107,863,1035,1103,1032,648,770,299","1003,188,485,794,628,260,13,190,53,1308,25,447,428,90,1094,862,601,182,210,243,503,531,12,69,141,121,410,349,453,365,104,78,645,159,26,174,196,664,726,1482,45,1077,1107,863,1035,1103,1032,648,770,299",None,1,None,None,189.419,None,None,None,None,323,532,None,0,None,"323,532,279,837,18","532,323,279,18,1103",None,0.519,None,"323,532,279,837,18,1127,174,410,632,351","532,323,279,18,1103,856,1127,1054,174,837",None,0.405,None,"323,532,279,837,18,1127,174,410,632,351,856,401,1326,177,137,87,132,1054,648,488","532,323,279,18,1103,856,1127,1054,174,837,770,826,978,648,401,488,404,137,351,177",None,0.312,None,"(None, 10, 0)",None,None,"1003,188,485,794,628,260,13,190,53,1430,25,447,428,90,1094,862,601,182,210,243,503,531,12,69,141,121,410,349,453,365,104,78,645,159,26,174,196,664,726,1482,45,1077,1107,863,1035,1103,1032,648,770,299","1003,188,485,794,628,260,13,190,53,1430,25,447,428,90,1094,862,601,182,210,243,503,531,12,69,141,121,410,349,453,365,104,78,645,159,26,174,196,664,726,1482,45,1077,1107,863,1035,1103,1032,648,770,299","sync_1003,sync_188,sync_485,sync_794,sync_628,sync_260,sync_13,sync_190,sync_53,sync_1430,sync_25,sync_447,sync_428,sync_90,sync_1094,sync_862,sync_601,sync_182,sync_210,sync_243,sync_503,sync_531,sync_12,sync_69,sync_141,sync_121,sync_410,sync_349,sync_453,sync_365,sync_104,sync_78,sync_645,sync_159,sync_26,sync_174,sync_196,sync_664,sync_726,sync_1482,sync_45,sync_1077,sync_1107,sync_863,sync_1035,sync_1103,sync_1032,sync_648,sync_770,sync_299",0,None,None,None,96.32,None,532,532,None,1,"532,323,279,18,1103","532,323,279,18,1103",None,1.0,"532,323,279,18,1103,856,1127,1054,174,837","532,323,279,18,1103,856,1127,1054,174,837",None,1.0,"532,323,279,18,1103,856,1127,1054,174,837,770,826,978,648,401,488,404,137,351,177","532,323,279,18,1103,856,1127,1054,174,837,770,826,978,648,401,488,404,137,351,177",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
104,genetic,None,"168,555,116,575,880,570,227,519,100,624,802,121,481,384,56,699,329,784,835,946,505,311,206,57,557,71,77,1078,838,417,1541,743,169,753,718,1229,635,870,202,157,115,365,173,503,369,294,529,254,174,451","168,555,116,575,880,570,227,519,100,624,802,121,481,314,56,699,329,784,835,946,505,311,206,57,557,71,77,1078,838,417,1541,743,169,753,718,1229,635,870,202,157,115,365,173,503,369,294,529,254,174,451",None,1,None,None,186.968,None,None,None,None,206,426,None,0,None,"206,465,699,426,15","426,15,838,465,206",None,0.213,None,"206,465,699,426,15,705,838,1114,427,979","426,15,838,465,206,833,528,705,699,418",None,0.193,None,"206,465,699,426,15,705,838,1114,427,979,166,837,346,608,418,528,1063,526,514,162","426,15,838,465,206,833,528,705,699,418,166,608,544,1114,457,57,427,147,162,209",None,0.214,None,"(None, 10, 0)",None,None,"168,555,116,575,880,570,227,519,100,624,802,121,481,384,56,699,329,784,835,946,505,311,206,57,557,71,77,1078,838,417,1541,743,169,753,718,1229,635,870,202,157,115,365,173,503,369,294,529,254,174,451","168,555,116,575,880,570,227,519,100,624,802,121,481,384,56,699,329,784,835,946,505,311,206,57,557,71,77,1078,838,417,1541,743,169,753,718,1229,635,870,202,157,115,365,173,503,369,294,529,254,174,451","sync_168,sync_555,sync_116,sync_575,sync_880,sync_570,sync_227,sync_519,sync_100,sync_624,sync_802,sync_121,sync_481,sync_384,sync_56,sync_699,sync_329,sync_784,sync_835,sync_946,sync_505,sync_311,sync_206,sync_57,sync_557,sync_71,sync_77,sync_1078,sync_838,sync_417,sync_1541,sync_743,sync_169,sync_753,sync_718,sync_1229,sync_635,sync_870,sync_202,sync_157,sync_115,sync_365,sync_173,sync_503,sync_369,sync_294,sync_529,sync_254,sync_174,sync_451",0,None,None,None,17.525,None,426,426,None,1,"426,15,838,465,206","426,15,838,465,206",None,1.0,"426,15,838,465,206,833,528,705,699,418","426,15,838,465,206,833,528,705,699,418",None,1.0,"426,15,838,465,206,833,528,705,699,418,166,608,544,1114,457,57,427,147,162,209","426,15,838,465,206,833,528,705,699,418,166,608,544,1114,457,57,427,147,162,209",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
105,genetic,None,"493,273,77,835,616,475,710,890,696,407,210,220,439,361,334,391,284,183,104,63,53,134,58,232,24,102,310,217,749,802,162,101,32,51,157,390,84,560,27,19,248,548,212,137,358,173,367,245,553,197","493,273,77,835,616,475,710,890,696,407,210,220,439,361,334,391,284,183,104,63,53,134,58,232,24,102,410,217,749,802,162,101,32,51,157,390,84,560,27,19,248,548,212,137,358,173,367,245,553,197",None,1,None,None,187.26,None,None,None,None,80,530,None,0,None,"80,530,310,404,505","530,310,80,404,1050",None,0.479,None,"80,530,310,404,505,865,557,96,7,1050","530,310,80,404,1050,505,865,202,557,7",None,0.455,None,"80,530,310,404,505,865,557,96,7,1050,397,85,1017,529,374,528,779,209,83,202","530,310,80,404,1050,505,865,202,557,7,529,85,747,376,279,528,209,48,1017,432",None,0.402,None,"(None, 10, 0)",None,None,"493,273,77,835,616,475,710,890,696,407,210,220,439,361,334,391,284,183,104,63,53,134,58,232,24,102,310,217,749,802,162,101,32,51,157,390,84,560,27,19,248,548,212,137,358,173,367,245,553,197","493,273,77,835,616,475,710,890,696,407,210,220,439,361,334,391,284,183,104,63,53,134,58,232,24,102,310,217,749,802,162,101,32,51,157,390,84,560,27,19,248,548,212,137,358,173,367,245,553,13","sync_493,sync_273,sync_77,sync_835,sync_616,sync_475,sync_710,sync_890,sync_696,sync_407,sync_210,sync_220,sync_439,sync_361,sync_334,sync_391,sync_284,sync_183,sync_104,sync_63,sync_53,sync_134,sync_58,sync_232,sync_24,sync_102,sync_310,sync_217,sync_749,sync_802,sync_162,sync_101,sync_32,sync_51,sync_157,sync_390,sync_84,sync_560,sync_27,sync_19,sync_248,sync_548,sync_212,sync_137,sync_358,sync_173,sync_367,sync_245,sync_553,add_13,del_197",1,None,None,None,172.802,None,865,530,None,0,"865,310,530,432,202","530,310,80,404,1050",None,0.327,"865,310,530,432,202,1017,505,557,151,180","530,310,80,404,1050,505,865,202,557,7",None,0.312,"865,310,530,432,202,1017,505,557,151,180,248,48,51,404,209,558,58,368,32,348","530,310,80,404,1050,505,865,202,557,7,529,85,747,376,279,528,209,48,1017,432",None,0.228,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
106,genetic,None,"255,312,148,560,114,100,361,404,141,240,1029,334,201,192,32,472,57,322,51,48,102,167,409,212,218,749,123,101,591,180,10,254,439,434,147,375,27,367,161,1050,865,173,481,647,658,310,1180,545,784,134","255,312,148,560,114,100,361,404,141,240,1029,334,201,192,32,472,57,322,51,48,102,167,409,212,218,749,123,101,591,180,10,254,439,434,147,375,27,367,1618,1050,865,173,481,647,658,310,1180,545,784,134",None,1,None,None,186.415,None,None,None,None,614,294,None,0,None,"614,367,448,404,137","294,34,684,151,84",None,0.0,None,"614,367,448,404,137,121,87,84,210,18","294,34,684,151,84,87,448,310,104,57",None,0.075,None,"614,367,448,404,137,121,87,84,210,18,648,684,227,615,365,294,142,69,445,322","294,34,684,151,84,87,448,310,104,57,85,121,18,78,436,384,615,365,404,439",None,0.098,None,"(None, 10, 0)",None,None,"255,312,148,560,114,100,361,404,141,240,1029,334,201,192,32,472,57,322,51,48,102,167,409,212,218,749,123,101,591,180,10,254,439,434,147,375,27,367,161,1050,865,173,481,647,658,310,1180,545,784,134","255,312,148,560,114,100,361,404,141,240,1029,334,201,192,32,472,57,322,51,48,102,167,409,212,218,749,123,101,591,180,10,254,439,434,147,375,27,367,161,1050,865,173,481,647,658,310,1180,545,784,75","sync_255,sync_312,sync_148,sync_560,sync_114,sync_100,sync_361,sync_404,sync_141,sync_240,sync_1029,sync_334,sync_201,sync_192,sync_32,sync_472,sync_57,sync_322,sync_51,sync_48,sync_102,sync_167,sync_409,sync_212,sync_218,sync_749,sync_123,sync_101,sync_591,sync_180,sync_10,sync_254,sync_439,sync_434,sync_147,sync_375,sync_27,sync_367,sync_161,sync_1050,sync_865,sync_173,sync_481,sync_647,sync_658,sync_310,sync_1180,sync_545,sync_784,add_75,del_134",1,None,None,None,77.431,None,436,294,None,0,"436,466,1050,434,481","294,34,684,151,84",None,0.0,"436,466,1050,434,481,292,83,684,4,284","294,34,684,151,84,87,448,310,104,57",None,0.018,"436,466,1050,434,481,292,83,684,4,284,9,136,798,310,545,57,202,590,27,85","294,34,684,151,84,87,448,310,104,57,85,121,18,78,436,384,615,365,404,439",None,0.03,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
107,genetic,None,"41,145,117,99,609,158,275,52,118,861,252,176,96,2,269,49,653,929,44,340,720,512,326,215,131,555,105,61,840,270,262,682","41,145,117,99,609,158,275,52,118,861,252,176,96,2,269,49,653,997,44,340,720,512,326,215,131,555,105,61,840,270,262,682",None,1,None,None,178.223,None,None,None,None,86,326,None,0,None,"86,361,326,253,340","326,361,86,340,131",None,0.457,None,"86,361,326,253,340,105,61,99,131,492","326,361,86,340,131,492,176,118,52,269",None,0.329,None,"86,361,326,253,340,105,61,99,131,492,269,667,52,176,653,377,185,290,118,96","326,361,86,340,131,492,176,118,52,269,290,96,815,667,145,185,105,188,1003,99",None,0.295,None,"(None, 10, 0)",None,None,"41,145,117,99,609,158,275,52,118,861,252,176,96,2,269,49,653,929,44,340,720,512,326,215,131,555,105,61,840,270,262,682","41,145,117,99,609,158,275,52,118,861,252,176,96,2,269,49,653,929,44,340,720,512,326,215,131,555,105,61,840,270,262,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_41,sync_145,sync_117,sync_99,sync_609,sync_158,sync_275,sync_52,sync_118,sync_861,sync_252,sync_176,sync_96,sync_2,sync_269,sync_49,sync_653,sync_929,sync_44,sync_340,sync_720,sync_512,sync_326,sync_215,sync_131,sync_555,sync_105,sync_61,sync_840,sync_270,sync_262,add_84,del_682",1,None,None,None,269.804,None,90,326,None,0,"90,61,50,99,361","326,361,86,340,131",None,0.053,"90,61,50,99,361,167,290,513,105,176","326,361,86,340,131,492,176,118,52,269",None,0.053,"90,61,50,99,361,167,290,513,105,176,25,118,492,96,340,190,269,653,358,326","326,361,86,340,131,492,176,118,52,269,290,96,815,667,145,185,105,188,1003,99",None,0.093,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
